,主要研发项,,项目目的,项目进展,拟达到的目标,预计对公司未来发展的影响
,目名称,,,,,
骁遥双核电 池,,,确保动力输出的连续性与安 全性，灵活设计适应不同场 景,产品已发布，与 客户推进落地中,突破单一化学体系边 界，实现解决方案性能 全面提升,助力新能源车实现安全冗余 和多场景的应用突破
钠新电池,,,突破常规锂电体系，推动电 化学体系多元化，适用更丰 富应用场景,产品已发布，与 客户推进落地中,通过钠电池实现应用场 景广域化、加速全面电 动化,为客户提供不同场景差异化 产品，提升公司竞争力
超混电池,,,超越常规体系，实现更高比 能、更长寿命及更加安全,产品已发布，与 客户推进落地中,为新能源乘用车、商用 车细分市场打造更具竞 争力产品,为客户提供差异化产品，提 升公司竞争力
凝聚态电池,,,超越常规体系，实现高安 全、高比能、高功率,产品已发布，与 客户推进落地中,为高端新能源车、航空 器等提供先进解决方案,助力拓展低空、航空等新兴 应用场景，提升公司竞争力
神行电池,,,进一步提升能量密度、快充 性能、循环寿命等性能,神行二代、神行 Pro产品已发布， 与客户推进落地 中,助力新能源车实现长续 航、长寿命、快补能、 高残值,作为行业快充技术标杆，持 续延展产品能力，提升公司 竞争力
天行电池,,,进一步提升能量密度、快充 性能、温度适应性、循环寿 命等性能,天行II轻商产品 已发布，与客户 推进落地中,拓宽场景适配性和用户 使用经济性,为客户提供差异化产品，提 升公司竞争力
大容量储能 电芯,,,定义行业下一代大容量电芯 标准，全面提升各项性能,产品已发布，与 客户推进落地中,助力进一步降低储能系 统成本，适配更丰富应 用场景,引领下一代储能电池技术方 向，提高储能产品竞争力
储能系统： TENER Stack,,,开发“Two in One”模块化突 破运输限制，助力整站高集 成和快速安装,产品已发布，与 客户推进落地中,助力储能系统实现高效 率、性价比,提升海外储能产品竞争力， 助力市场开拓
自生成负极,,,超越常规体系，打造高比能 产品,产品已发布，与 客户推进落地中,通过自生成负极助力能 量密度实现跃升,为客户提供差异化产品，提 升公司竞争力
智能电芯设 计平台,,,通过AI + 数据驱动实现电 池研发范式变革,推动广泛应用， 助力提质增效,实现研发范式革命、成 本效率双升,重塑电池设计的底层逻辑， 保障公司高效研发的领先性
